NAME,STATE_NAME,STATE_ABBR,STATE_FIPS,COUNTY_FIPS,FIPS,POPULATION,POP_SQMI,SQMI,Homicide_Prev,Hospital,Transit,sum_Area_SquareKilometers,Polygon_Count,AnalysisArea,Homicide
Knox County,Texas,TX,48,275,48275,3353,3.9,855.48,0.00030916,0.00000063,0.00220499,2230.746943,1,2230.746941,-0.00030916
Lamar County,Texas,TX,48,277,48277,50088,53.7,933.1,0.00033557,0.00000068,0.00204244,2419.516989,1,2426.747604,-0.00033557
Lamb County,Texas,TX,48,279,48279,13045,12.8,1017.72,0.00035644,0.00000072,0.00174361,2558.258488,1,2558.258487,-0.00035644
Lampasas County,Texas,TX,48,281,48281,21627,30.3,713.59,0.00024823,0.0000005,0.00141471,1838.544743,1,1838.544741,-0.00024823
La Salle County,Texas,TX,48,283,48283,6664,4.5,1494.23,0.00049209,0.000001,0.00546698,3748.073289,1,3748.073293,-0.00049209
Lavaca County,Texas,TX,48,285,48285,20337,21,970.43,0.00033385,0.00000068,0.00186026,2517.975399,1,2517.975399,-0.00033385
Lee County,Texas,TX,48,287,48287,17478,27.6,634.11,0.00022388,0.00002568,0.00267662,1673.16031,1,1673.160308,-0.00022388
Leon County,Texas,TX,48,289,48289,15719,14.5,1080.62,0.00037785,0.00000077,0.00220832,2795.597646,1,2795.59765,-0.00037785
Liberty County,Texas,TX,48,291,48291,91628,77.9,1176.36,0.00225885,0.00150736,0.00199838,3013.08532,2,3013.085319,-0.00225885
Limestone County,Texas,TX,48,293,48293,22146,23.7,933.17,0.00032883,0.00000067,0.00194357,2426.527826,1,2426.527827,-0.00032883
Lipscomb County,Texas,TX,48,295,48295,3059,3.3,932.33,0.00033469,0.00000069,0.0079104,2339.001328,1,2361.159413,-0.00033469
Live Oak County,Texas,TX,48,297,48297,11335,10.5,1078.88,0.00036456,0.00000074,0.00192987,2776.547237,1,2776.547236,-0.00036456
Llano County,Texas,TX,48,299,48299,21243,22,965.86,0.00032873,0.00000067,0.00188518,2447.086828,1,2447.086831,-0.00032873
Loving County,Texas,TX,48,301,48301,64,0.1,676.54,0.00023139,0.00000047,0.00188762,1702.026387,1,1702.026389,-0.00023139
Lubbock County,Texas,TX,48,303,48303,310639,344.9,900.7,0.00032629,0.00407431,0.00189031,2354.147586,1,2354.147583,-0.00032629
Lynn County,Texas,TX,48,305,48305,5596,6.3,893.47,0.00031633,0.00000064,0.00174144,2293.674494,1,2293.674495,-0.00031633
McCulloch County,Texas,TX,48,307,48307,7630,7.1,1073.43,0.00037482,0.00000076,0.00175451,2776.16307,1,2776.163071,-0.00037482
McLennan County,Texas,TX,48,309,48309,260579,245.8,1060.24,0.0003726,0.00002757,0.00944859,2749.43766,1,2749.437659,-0.0003726
McMullen County,Texas,TX,48,311,48311,600,0.5,1156.79,0.00038447,0.00000078,0.00225356,2928.171091,1,2928.171092,-0.00038447
Madison County,Texas,TX,48,313,48313,13455,28.5,472.43,0.00016398,0.00000033,5.20601565,1217.382202,1,1217.382201,-0.00016398
Marion County,Texas,TX,48,315,48315,9725,23.1,420.32,0.00015422,0.00000031,0.00209914,1122.917449,1,1122.917447,-0.00015422
Martin County,Texas,TX,48,317,48317,5237,5.7,915.7,0.00032008,0.00000065,0.00222115,2343.154796,1,2343.154795,-0.00032008
Mason County,Texas,TX,48,319,48319,3953,4.2,932.22,0.00031999,0.00000065,0.00199681,2381.710729,1,2381.710728,-0.00031999
Matagorda County,Texas,TX,48,321,48321,36255,32.2,1125.38,0.79664915,0.01896948,0.00206876,2978.303298,16,2999.66365,-0.79664915
Maverick County,Texas,TX,48,323,48323,57887,44.8,1291.79,0.00044414,0.0000009,0.00040401,3370.324264,1,3380.069164,-0.00044414
Medina County,Texas,TX,48,325,48325,50748,38,1334.53,0.01051003,0.00141645,0.00228121,3454.636781,2,3454.636779,-0.01051003
Menard County,Texas,TX,48,327,48327,1962,2.2,902.26,0.0003135,0.00000064,0.00200014,2329.375045,1,2329.37505,-0.0003135
Midland County,Texas,TX,48,329,48329,169983,188.5,902,0.00032085,0.00000065,0.00190246,2359.760514,1,2359.760513,-0.00032085
Milam County,Texas,TX,48,331,48331,24754,24.2,1020.92,0.00035674,0.00002715,0.00197559,2653.217734,1,2653.217735,-0.00035674
Mills County,Texas,TX,48,333,48333,4456,5.9,749.78,0.00026711,0.00000054,0.00196579,1972.208978,1,1972.208978,-0.00026711
Mitchell County,Texas,TX,48,335,48335,8990,9.8,915.92,0.00031533,0.00000064,0.00194165,2308.346344,1,2308.346344,-0.00031533
Montague County,Texas,TX,48,337,48337,19965,21.3,938.27,0.00034124,0.00000069,0.00229384,2460.236503,1,2465.393397,-0.00034124
Montgomery County,Texas,TX,48,339,48339,620443,576.1,1076.88,0.03918093,0.00964002,0.00193131,2864.436625,4,2864.436626,-0.03918093
Moore County,Texas,TX,48,341,48341,21358,23.5,909.61,0.00033278,0.00000068,0.00172855,2338.278708,1,2338.278707,-0.00033278
Morris County,Texas,TX,48,343,48343,11973,46.3,258.7,9.21E-05,0.00000019,0.00193668,668.2497377,1,668.2497354,-0.0000921
Motley County,Texas,TX,48,345,48345,1063,1.1,989.82,0.00035637,0.00000072,0.00191021,2557.506178,1,2557.506177,-0.00035637
Nacogdoches County,Texas,TX,48,347,48347,64653,65.9,980.97,0.0003515,0.00000071,0.00193435,2592.051636,1,2592.051636,-0.0003515
Navarro County,Texas,TX,48,349,48349,52624,48.5,1086,0.00038632,0.00000078,0.09872467,2835.628064,1,2835.628063,-0.00038632
Newton County,Texas,TX,48,351,48351,12217,13,939.73,0.00032803,0.00000067,0.00055228,2439.910711,1,2457.857391,-0.00032803
Nolan County,Texas,TX,48,353,48353,14738,16.1,913.95,0.00031827,0.00000065,0.00148477,2329.938515,1,2329.938513,-0.00031827
Nueces County,Texas,TX,48,355,48355,353178,415.9,849.25,0.24645787,0.02041874,0.00043595,2206.78971,5,2216.788852,-0.24645787
Ochiltree County,Texas,TX,48,357,48357,10015,10.9,918.2,0.00033014,0.00000068,0.00199781,2307.279676,1,2331.077556,-0.00033014
Oldham County,Texas,TX,48,359,48359,1758,1.2,1501.42,0.00055121,0.00000112,0.00196057,3894.041993,1,3894.041989,-0.00055121
Orange County,Texas,TX,48,361,48361,84808,242.7,349.44,0.00012581,0.00101248,0.00191856,942.0515174,1,945.3853186,-0.00012581
Palo Pinto County,Texas,TX,48,363,48363,28409,28.8,985.51,0.00034417,0.0000007,0.00197153,2507.142526,1,2507.142527,-0.00034417
Panola County,Texas,TX,48,365,48365,22491,27.4,821.32,0.00029235,0.00000059,0.00193047,2143.496141,1,2143.928073,-0.00029235
Parker County,Texas,TX,48,367,48367,148222,162.9,910.1,0.01035063,0.00260066,0.00192328,2368.094485,2,2368.094488,-0.01035063
Parmer County,Texas,TX,48,369,48369,9869,11.1,885.21,0.0003185,0.00000065,0.00200438,2273.681995,1,2273.681995,-0.0003185
Pecos County,Texas,TX,48,371,48371,15193,3.2,4764.81,0.00164957,0.00000335,0.00197715,12269.74478,1,12269.74478,-0.00164957
Polk County,Texas,TX,48,373,48373,50123,45.2,1109.66,0.00038556,0.00000078,0.00163432,2867.619991,1,2867.619994,-0.00038556
Potter County,Texas,TX,48,375,48375,118525,128.6,921.99,0.00033648,0.00000068,0.00194387,2376.987175,1,2376.987178,-0.00033648
Presidio County,Texas,TX,48,377,48377,6131,1.6,3855.95,0.00133069,0.0000027,0.00192663,9976.010143,1,9984.681109,-0.00133069
Rains County,Texas,TX,48,379,48379,12164,47,258.83,9.33E-05,0.00000019,0.00212489,678.3848477,1,678.3848466,-0.0000933
Randall County,Texas,TX,48,381,48381,140753,152.6,922.44,0.00033041,0.00000067,0.00203367,2346.446916,1,2346.446915,-0.00033041
Reagan County,Texas,TX,48,383,48383,3385,2.9,1176.01,0.00040249,0.00000082,0.0020298,2975.854658,1,2975.854657,-0.00040249
Real County,Texas,TX,48,385,48385,2758,3.9,700.06,0.00023753,0.00000048,0.00228984,1783.631967,1,1783.631966,-0.00023753
Red River County,Texas,TX,48,387,48387,11587,11,1056.74,0.02515855,0.00000076,0.00239255,2711.086982,2,2718.630034,-0.02515855
Reeves County,Texas,TX,48,389,48389,14748,5.6,2642.07,0.00092358,0.00000187,0.00133799,6831.494838,1,6831.515938,-0.00092358
Refugio County,Texas,TX,48,391,48391,6741,8.7,778.71,0.00026293,0.00000053,0.0015453,2003.0203,1,2009.247723,-0.00026293
Roberts County,Texas,TX,48,393,48393,827,0.9,924.19,0.00033674,0.00000068,0.00198191,2366.076105,1,2366.076103,-0.00033674
Robertson County,Texas,TX,48,395,48395,16757,19.4,865.71,0.00030286,0.00000061,0.00217637,2246.947674,1,2246.947672,-0.00030286
Rockwall County,Texas,TX,48,397,48397,107819,724,148.93,0.02296405,0.00207746,0.00218252,384.0486838,4,384.0486838,-0.02296405
Runnels County,Texas,TX,48,399,48399,9900,9.4,1057.09,0.00037239,0.00000076,0.00220885,2739.88108,1,2739.881083,-0.00037239
Rusk County,Texas,TX,48,401,48401,52214,55.6,938.57,0.0003299,0.0004668,0.00223766,2420.037315,1,2420.037315,-0.0003299
Sabine County,Texas,TX,48,403,48403,9894,17.2,576.63,0.00020773,0.00000042,0.00176393,1536.263823,1,1545.682365,-0.00020773
San Augustine County,Texas,TX,48,405,48405,7918,13.4,592.3,0.00020769,0.00000042,0.00212437,1535.200055,1,1535.200057,-0.00020769
San Jacinto County,Texas,TX,48,407,48407,27402,43.6,627.91,0.00021632,0.0003943,0.00153325,1612.343318,1,1612.343318,-0.00021632
